tickNumber,in27,B14,B11,cn12,B54,
1107,,,,,,
1108,,,,,,
1109,,,,,,
1110,,,,,,
1111,,,,,,
1112,,,,,,
1113,,,,,,
1114,,|1095_1114_1_541_,,,,
1115,,,,,,
1116,|1096_1116_0_542_,,,,,
1117,,,,,|1097_1117_4_543_,
1118,,,,,,
1119,,,|1099_1119_2_545_,,,
1120,,,,,,
1121,,,|1101_1121_2_547_,,,
1122,,,,,,
1123,,,,,,
1124,,|1105_1124_1_549_,,,,
1125,,,,,,
1126,,,,,,
1127,,,,,,
1128,,,,,,
1129,,,,,,
1130,,,,,|1110_1130_4_550_,
1131,,,,,,
1132,,|1132_1132_1_557_,,,,
1133,,,,,,
1134,,|1114_1134_1_551_,,,,
1135,,,,,|1115_1135_4_552_,
1136,,,,,,
1137,,,,,,
1138,,,,,|1118_1138_4_553_,
1139,,,,,,
1140,,,,,|1137_1140_4_560_,
1141,,,,,,
1142,|1122_1142_0_554_,,,,,
1143,,,,,,
1144,,|1128_1144_1_556_,,,,
1145,,|1126_1145_1_555_,,,,
1146,,,,,,
1147,,,,,,
1148,,,|1148_1148_2_563_,,,
1149,,,,,,
1150,,,,,,
1151,,,,,,
1152,,,,,,
1153,,,,,,
1154,,,,,|1134_1154_4_558_,
1155,,|1135_1155_1_559_,,,,
1156,,,,,,
1157,,,,,,
1158,,,,,,
1159,,,,,,
1160,,|1142_1160_1_561_,,,,
1161,,,,,,
1162,,,,,,
1163,,,,,,
1164,,,,,|1144_1164_4_562_,
1165,,,,,,
1166,,,,,,
1167,,,,,,
1168,,,,,,
1169,,,,,,
1170,,|1155_1170_1_565_,,,,
1171,,,,,,
1172,,,,,,
1173,,|1154_1173_1_564_,,,,
1174,,,,,,
1175,,,,,|1156_1175_4_566_,
1176,,,|1159_1176_2_567_,,,
1177,,,,,,
1178,,,,,,
1179,,,|1176_1179_2_572_,,,
1180,,,,,,
1181,,,,,|1167_1181_4_569_,
1182,,,,,,
1183,,,,,,
1184,|1164_1184_0_568_,|1184_1184_1_578_,,,,
1185,,|1179_1185_1_574_,,,,
1186,,,,,,
1187,,,,,,
1188,,,,,,
1189,,,|1171_1189_2_570_,,,
1190,,,,,,
1191,,,|1189_1191_2_579_,,,
1192,|1172_1192_0_571_,,,,,
1193,,,,,,
1194,,,,,,
1195,,,,,,
1196,,,|1178_1196_2_573_,,,
1197,,,,,|1180_1197_4_575_,
1198,,,,,,
1199,,,,,,
1200,,,,,,
1201,,,|1181_1201_2_576_,,,
1202,,,,,|1182_1202_4_577_,
1203,,,,,,
1204,,,,,,
1205,,,,,,
1206,,,,,,
1207,,,,,,
1208,,,,,,
1209,,,,,,
1210,|1190_1210_0_580_,,,,,
1211,,|1193_1211_1_582_,,,,
1212,,,|1192_1212_2_581_,,,
1213,,|1195_1213_1_583_,,,,
1214,,,,,,
1215,,|1197_1215_1_584_,,,,
1216,,,,,,
1217,,,,,,
1218,,,,,,
1219,,,,,,
1220,,,,,,
1221,,,,,|1201_1221_4_585_,
1222,,,,,,
1223,,,,,,
1224,,,|1204_1224_2_586_,,|1219_1224_4_591_,
1225,,,,,,
1226,,,,,,
1227,,,,,|1207_1227_4_587_,
1228,,,|1208_1228_2_588_,,,
1229,,,,,,
1230,,|1222_1230_1_593_,|1228_1230_2_596_,,,
1231,,,,,,
1232,,,,,,
1233,,,,,,
1234,,,,,,
1235,,,,,,
1236,,,,,|1216_1236_4_589_,
1237,,|1218_1237_1_590_,|1221_1237_2_592_,,,
1238,,,,,,
1239,,,,,,
1240,,,,,,
1241,,,,,,
1242,,,,,,
1243,,,,,,
1244,,,,,,
1245,,,,,,
1246,,|1227_1246_1_595_,,,|1226_1246_4_594_,
1247,,,,,,
1248,,,,,,
1249,,,,,,
1250,,,,,,
1251,,,,,,
1252,,,,,|1232_1252_4_597_,
1253,,|1233_1253_1_598_,,,,
1254,,,,,,
1255,,|1255_1255_1_605_,,,,
1256,,,,,,
1257,,,|1237_1257_2_599_,,,
1258,,,,,,
1259,,,,,,
1260,,,,,|1240_1260_4_600_,
1261,,,,,,
1262,,,|1242_1262_2_601_,,,
1263,,,,,,
1264,,,,,,
1265,,,,,,
1266,,,,,,
1267,,,|1250_1267_2_602_,,,
1268,,,,,,
1269,,|1269_1269_1_608_,,,,
1270,,,,,,
1271,,,,,,
1272,,,|1254_1272_2_604_,,,
1273,,,,,|1253_1273_4_603_,
1274,,,,,,
1275,,,,,,
1276,,,,,,
1277,,,,,,
1278,,,,,,
1279,,,,,,
1280,,,,,,
1281,,,,,,
1282,,,,,,
1283,,,,,,
1284,,|1264_1284_1_606_,,,,
1285,,,,,,
1286,,|1266_1286_1_607_,,,,
1287,,,,,,
1288,,,,,,
1289,,,,,,
1290,|1270_1290_0_609_,,,,,
1291,,,,,,
1292,,,,,,
1293,,,,,,
1294,,,,,,
1295,,,,,,
1296,,,,,,
1297,,|1277_1297_1_610_,,,,
1298,,,|1282_1298_2_612_,,,
1299,,,,,,
1300,,,,,,
1301,,,,,|1281_1301_4_611_,
1302,|1285_1302_0_614_,,,,,
1303,,,,,|1283_1303_4_613_,
1304,,,,,,
1305,|1289_1305_0_617_,,,,,
1306,,|1286_1306_1_615_,,,,
1307,,,,,,
1308,,,,,|1288_1308_4_616_|1303_1308_4_622_,
1309,,,,,,
1310,,|1291_1310_1_618_,,,,
1311,,,,,,
1312,,,,,,
1313,,,,,,
1314,,|1294_1314_1_619_,,,,
1315,,,,,|1295_1315_4_620_,
1316,,|1299_1316_1_621_,,,,
1317,,,,,,
1318,,,,,,
1319,,,,,,
1320,,,,,,
1321,,,,,|1317_1321_4_628_,
1322,,,,,,
1323,,,,,,
1324,,,,,,
1325,,,,,,
1326,,,,,|1306_1326_4_623_,
1327,,,|1311_1327_2_626_,,|1307_1327_4_624_,
1328,,,,,|1308_1328_4_625_,
1329,,,,,,
1330,,,,,,
1331,,,,,,
1332,,,,,,
1333,,,|1318_1333_2_629_,,,
1334,,,,,,
1335,,,,,,
1336,,|1316_1336_1_627_,,,,
1337,,,,,,
1338,,,,,,
1339,,,,,,
1340,,,|1321_1340_2_630_,,,
1341,,|1341_1341_1_637_,,,,
1342,,,|1325_1342_2_632_|1326_1342_2_633_,,|1322_1342_4_631_,
1343,,,,,,
1344,,,,,,
1345,,,,,,
1346,,,,,,
1347,,,,,,
1348,,,,,,
1349,,,,,,
1350,,,,,|1330_1350_4_634_,
1351,,,,,,
1352,,,,,,
1353,,,,,,
1354,,,,,,
1355,|1335_1355_0_635_,,,,,
1356,|1336_1356_0_636_,,,,,
1357,,,,,,
1358,,,,,|1344_1358_4_638_,
1359,,,,,,
1360,,,,,,
1361,,,,,,
1362,,,,,,
1363,,,,,,
1364,,,,,,
1365,,,,,,
1366,,,,,|1355_1366_4_642_,
1367,|1357_1367_0_643_,,|1348_1367_2_639_,,,
1368,,,,,,
1369,,,|1350_1369_2_640_,,,
1370,,,,,,
1371,,,,,|1369_1371_4_650_,
1372,,,|1354_1372_2_641_,,,
1373,,,,,,
1374,,,,,,
1375,,,,,,
1376,,|1358_1376_1_644_,,,,
1377,,,,,,
1378,,,|1378_1378_2_651_,,,
1379,,,,,,
1380,,,,,|1362_1380_4_646_,
1381,|1361_1381_0_645_,,,,,
1382,,,,,,
1383,,,,,|1363_1383_4_647_,
1384,,,,,,
1385,,,,,,
1386,,,,,,
1387,,,,,|1367_1387_4_648_,
1388,,,,,|1368_1388_4_649_,
1389,,|1384_1389_1_653_,,,,
1390,,,,,,
1391,,,,,,
1392,,,,,|1392_1392_4_656_,
1393,,,,,,
1394,,,,,,
1395,,,,,,
1396,,,,,,
1397,,|1393_1397_1_657_,,,,
1398,,,,,,
1399,,,,,|1379_1399_4_652_,
1400,,,,,,
1401,,,,,,
1402,,,,,,
1403,,,,,,
1404,,|1388_1404_1_654_,,,,
1405,,,,,|1390_1405_4_655_,
1406,,,,,,
1407,,|1394_1407_1_658_,,,,
1408,,,,,,
1409,,,,,,
1410,,|1409_1410_1_661_,,,,
1411,,,,,,
1412,,,|1407_1412_2_660_,,,
1413,,,,,,
1414,,,,,,
1415,,,,,,
1416,,|1416_1416_1_662_,,,,
1417,,,,,,
1418,,,,,,
1419,,|1402_1419_1_659_,,,,
1420,,,,,,
1421,,,,,,
1422,,,,,,
1423,,,,,,
1424,,,,,,
1425,,,,,,
1426,,,,,,
1427,,,,,,
1428,,,,,,
1429,,,,,,
1430,,,,,,
1431,,,,,,
1432,,,,,,
1433,,,,,,
1434,,,,,,
1435,,,,,,
1436,,,,,,
1437,,,,,,
1438,,,,,,
1439,,,,,,
1440,,,,,,
1441,,,,,|1422_1441_4_663_,
1442,,,,,,
1443,,,,,,
1444,,,,,,
1445,,,,,|1425_1445_4_664_,
1446,,|1429_1446_1_667_,,,,
1447,,,,,|1427_1447_4_665_,
1448,,,,,|1428_1448_4_666_,
1449,,,,,,
1450,,,,,,
1451,,,,,,
1452,,,,,,
1453,,,,,,
1454,,,,,,
1455,,,,,,
1456,,,,,,
1457,,,,,,
1458,,,,,,
1459,,,|1439_1459_2_668_,,,
1460,,,,,,
1461,,,,,,
1462,,,,,,
1463,,,,,,
1464,,,|1444_1464_2_669_,,,
1465,,,|1445_1465_2_670_,,,
1466,,,,,|1446_1466_4_671_,
1467,,,|1447_1467_2_672_,,,
1468,,,,,,
1469,,,,,,
1470,,,,,,
1471,,,,,,
1472,,|1452_1472_1_673_,,,,
1473,,,,,,
1474,,,,,,
1475,,,,,,
1476,,,,,,
1477,,,,,,
1478,,,,,,
1479,,,|1459_1479_2_674_,,,
1480,,,,,,
1481,,,,,|1461_1481_4_675_,
1482,,,,,,
1483,,,,,|1463_1483_4_676_,
1484,,,|1464_1484_2_677_,,,
1485,,,,,|1465_1485_4_678_,
1486,,,,,,
1487,,,,,,
1488,,,,,,
1489,,,,,,
1490,,,,,,
1491,,|1471_1491_1_679_,,,,
1492,,|1472_1492_1_680_,,,,
1493,,|1485_1493_1_683_,,,,
1494,,,,,|1474_1494_4_681_,
1495,,,,,,
1496,,,,,,
1497,,,,,,
1498,,,,,,
1499,,,,,|1479_1499_4_682_,
1500,,,,,,
1501,,,,,,
1502,,,,,,
1503,,,,,,
1504,,,,,,
1505,,,,,,
1506,,,,,,
1507,,,,,,
1508,,,,,,
1509,,,,,,
1510,,,,,,
1511,,|1492_1511_1_684_,,,,
1512,,,,,,
1513,,,,,,
1514,,,,,,
1515,,,,,,
1516,,|1496_1516_1_685_,,,,
1517,,,,,,
1518,,,,,,
1519,,,,,,
1520,,,,,|1500_1520_4_686_,
1521,,,,,,
1522,,,,,,
1523,,,,,,
1524,,,,,,
1525,,,,,|1505_1525_4_687_,
1526,,,,,,
1527,,,|1508_1527_2_688_|1517_1527_2_694_,,,
1528,,|1511_1528_1_690_,|1509_1528_2_689_,,,
1529,,,,,,
1530,,,,,|1519_1530_4_695_,
1531,,,,,,
1532,,,,,,
1533,,|1513_1533_1_691_,,,,
1534,,,,,|1514_1534_4_692_,
1535,,,,,,
1536,,,,,|1516_1536_4_693_|1522_1536_4_697_,
1537,,,,,,
1538,,|1521_1538_1_696_,,,,
1539,,,,,,
1540,,,,,,
1541,,,,,,
1542,,,,,,
1543,,,|1523_1543_2_698_,,,
1544,,,,,,
1545,,,,,,
1546,,,,,,
1547,,,,,,
1548,,,,,,
1549,,,,,,
1550,,|1530_1550_1_699_,,,,
1551,,,,,,
1552,,,,,,
1553,,,,,,
1554,,,,,,
1555,,,,,,
1556,,,,,,
1557,,,,,,
1558,,,,,,
1559,,,,,,
1560,,,,,|1541_1560_4_700_,
1561,,,,,,
1562,,,,,|1549_1562_4_703_,
1563,,,,,,
1564,,,,,|1545_1564_4_701_,
1565,,,|1550_1565_2_704_,,,
1566,,,,,,
1567,,,,,,
1568,,,,,|1548_1568_4_702_,
1569,,,,,,
1570,,,,,,
1571,,,,,,
1572,,,,,,
1573,,,,,,
1574,,,,,,
1575,,,,,,
1576,,,,,|1556_1576_4_705_,
1577,,|1557_1577_1_706_,,,,
1578,,,,,,
1579,,,,,,
1580,,,,,,
1581,,,,,,
1582,,,,,|1564_1582_4_707_,
1583,,,|1570_1583_2_711_,,,
1584,,,,,|1565_1584_4_708_,
1585,,|1581_1585_1_715_,|1566_1585_2_709_,,,
1586,,,,,,
1587,,,,,|1567_1587_4_710_,
1588,,,,,,
1589,,,,,,
1590,,,|1589_1590_2_717_,,,
1591,,,,,,
1592,,|1572_1592_1_712_,,,,
1593,,,,,|1574_1593_4_713_,
1594,,,,,,
1595,,,,,|1576_1595_4_714_,
1596,,,,,,
1597,,,,,,
1598,,,,,,
1599,,,,,,
1600,,,,,,
1601,,|1585_1601_1_716_,,,,
1602,,,,,|1597_1602_4_721_,
1603,,,,,,
1604,,,,,,
1605,,,,,,
1606,,,,,,
1607,,,,,,
1608,,,,,,
1609,,,,,,
1610,,,,,,
1611,,,,,|1593_1611_4_718_,
1612,,,,,,
1613,,|1595_1613_1_719_,,,|1608_1613_4_725_,
1614,,|1596_1614_1_720_,,,,
1615,,,,,,
1616,,,,,,
1617,,,,,|1598_1617_4_722_,
1618,,,,,|1599_1618_4_723_,
1619,,,,,,
1620,,,|1606_1620_2_724_,,,
1621,,,,,,
1622,,,,,,
1623,,,,,,
1624,,,|1610_1624_2_727_,,,
1625,,,|1625_1625_2_729_,,,
1626,,,,,,
1627,,,,,,
1628,,,,,|1609_1628_4_726_,
1629,,,,,,
1630,,,,,,
1631,,,,,,
1632,,,,,,
1633,,,,,,
1634,,,,,,
1635,,,,,,
1636,,,,,,
1637,,,,,,
1638,,,,,,
1639,,,,,|1622_1639_4_728_,
1640,,,,,|1629_1640_4_730_,
1641,,,,,,
1642,,,,,,
1643,,,,,,
1644,,,,,,
1645,,,,,,
1646,,,,,,
1647,,,,,,
1648,,,,,|1632_1648_4_732_,
1649,,,,,|1630_1649_4_731_,
1650,,,,,,
1651,,,,,,
1652,,,,,,
1653,,,,,|1634_1653_4_733_,
1654,,,,,,
1655,,,,,,
1656,,,,,,
1657,,,,,,
1658,,,,,,
1659,,,,,,
1660,,,,,|1660_1660_4_737_,
1661,,,|1642_1661_2_734_,,,
1662,,,,,,
1663,,,,,,
1664,,,,,,
1665,,,,,,
1666,,,,,,
1667,,,,,,
1668,,,,,,
1669,,,,,,
1670,,,,,,
1671,,,,,,
1672,,,,,|1658_1672_4_736_,
1673,,,,,|1656_1673_4_735_,
1674,,,,,,
1675,,,,,,
1676,,,,,,
1677,,,,,,
1678,,,,,,
1679,,,,,|1667_1679_4_740_,
1680,,|1666_1680_1_739_,,,,
1681,,,,,,
1682,,,,,|1662_1682_4_738_,
1683,,,,,,
1684,,,,,,
1685,,,,,,
1686,,,,,,
1687,,,,,|1678_1687_4_742_,
1688,,,,,|1669_1688_4_741_,
1689,,,,,,
1690,,,,,,
1691,,,,,,
1692,,,,,,
1693,,,,,,
1694,,,,,,
1695,,,,,,
1696,,,,,,
1697,,,,,,
1698,,,,,,
1699,,,,,,
1700,,,,,,
1701,,,,,,
1702,,,,,,
1703,,|1684_1703_1_743_,,,,
1704,,,,,|1685_1704_4_744_,
1705,,,,,,
1706,,|1702_1706_1_748_,|1691_1706_2_745_,,,
1707,,,,,,
1708,,,,,,
1709,,,,,|1696_1709_4_747_,
1710,,,,,,
1711,,,,,,
1712,,,,,|1692_1712_4_746_,
1713,,,,,|1704_1713_4_749_,
1714,,,,,,
1715,,,,,,
1716,,,,,,
1717,,,,,|1713_1717_4_752_,
1718,,,,,,
1719,,,,,|1708_1719_4_751_,
1720,,,|1720_1720_2_754_,,,
1721,,,,,,
1722,,,,,,
1723,,,|1723_1723_2_755_,,|1717_1723_4_753_,
1724,,,,,,
1725,,,,,,
1726,,,|1726_1726_2_756_,,|1706_1726_4_750_,
1727,,,,,,
1728,,,,,,
1729,,,,,,
1730,,,,,,
1731,,,,,,
1732,,,,,,
1733,,,,,,
1734,,,|1734_1734_2_759_,,,
1735,,,,,,
1736,,,,,,
1737,,,,,,
1738,,,,,,
1739,,,,,,
1740,,,,,,
1741,,,,,,
1742,,,,,,
1743,,,,,,
1744,,,,,,
1745,,,,,,
1746,,,,,,
1747,,,,,,
1748,,,,,,
1749,,,|1749_1749_2_763_,,|1730_1749_4_757_,
1750,,,,,,
1751,,,,,,
1752,,,,,|1732_1752_4_758_,
1753,,,,,,
1754,,,,,,
1755,,,,,,
1756,,,,,,
1757,,,,,|1751_1757_4_764_,
1758,,,|1758_1758_2_766_,,,
1759,,,,,,
1760,,,,,|1741_1760_4_760_|1756_1760_4_765_,
1761,,,,,,
1762,,,,,,
1763,,,,,|1743_1763_4_761_,
1764,,,,,|1746_1764_4_762_,
1765,,,,,,
1766,,,,,,
1767,,,,,,
1768,,,|1768_1768_2_767_,,,
1769,,,,,,
1770,,,,,,
1771,,,,,,
1772,,,,,,
1773,,,,,,
1774,,,,,,
1775,,,,,,
1776,,,,,,
1777,,,,,,
1778,,,,,,
1779,,,,,,
1780,,,,,,
1781,,,,,|1772_1781_4_768_,
1782,,,,,,
1783,,,,,,
1784,,,|1784_1784_2_770_,,,
1785,,,,,,
1786,,,,,,
1787,,,,,,
1788,,,,,,
1789,,,,,,
1790,,,,,,
1791,,,,,,
1792,,|1791_1792_1_772_,,,,
1793,,,,,,
1794,,,,,,
1795,,,,,,
1796,,,,,,
1797,,,,,,
1798,,,,,,
1799,,,|1799_1799_2_774_,,,
1800,,|1797_1800_1_773_,,,,
1801,,,|1801_1801_2_775_,,,
1802,,,,,|1783_1802_4_769_,
1803,,,,,,
1804,,,,,,
1805,,,,,,
1806,,,,,,
1807,,,,,,
1808,,,,,,
1809,,,,,,
1810,,,,,|1790_1810_4_771_,
1811,,,,,,
1812,,,,,,
1813,,,,,,
1814,,,,,|1811_1814_4_776_,
1815,,,,,,
1816,,,,,,
1817,,,,,,
1818,,,,,,
1819,,,,,,
1820,,,,,,
1821,,,,,,
1822,,,|1819_1822_2_781_,,,
1823,,,|1823_1823_2_782_,,,
1824,,,,,,
1825,,,,,,
1826,,,|1826_1826_2_783_,,|1818_1826_4_780_,
1827,,,,,,
1828,,,,,,
1829,,,,,,
1830,,,,,,
1831,,,,,,
1832,,,,,|1817_1832_4_779_,
1833,,|1813_1833_1_777_|1829_1833_1_784_,,,,
1834,,,,,|1830_1834_4_785_,
1835,,,|1831_1835_2_786_,,|1815_1835_4_778_,
1836,,,,,,
1837,,,,,,
1838,,,,,,
1839,,,,,,
1840,,,,,,
1841,,|1838_1841_1_789_,,,,
1842,,,,,,
1843,,,,,,
1844,,,,,,
1845,,,,,,
1846,,,,,,
1847,,,,,,
1848,,,,,|1833_1848_4_787_,
1849,,,|1849_1849_2_793_,,,
1850,,,,,,
1851,,,|1851_1851_2_795_,,,
1852,,,,,,
1853,,,,,,
1854,,,,,,
1855,,,,,|1835_1855_4_788_,
1856,,,,,,
1857,,,,,,
1858,,,,,,
1859,,,,,|1840_1859_4_790_,
1860,,,|1858_1860_2_796_,,,
1861,,,,,,
1862,,,,,,
1863,,,,,,
1864,,,,,|1846_1864_4_791_,
1865,,,,,,
1866,,,,,,
1867,,,,,,
1868,,,,,|1848_1868_4_792_,
1869,,,,,|1850_1869_4_794_,
1870,,,,,|1865_1870_4_797_,
1871,,,,,,
1872,,,,,,
1873,,,,,,
1874,,,,,,
1875,,,,,,
1876,,,,,,
1877,,,,,,
1878,,,,,,
1879,,,,,,
1880,,,,,,
1881,,,,,,
1882,,,,,,
1883,,,,,,
1884,,,,,,
1885,,,,,,
1886,,,,,,
1887,,,,,,
1888,,,,,,
1889,,,,,,
1890,,,,,|1877_1890_4_799_,
1891,,,,,,
1892,,,,,,
1893,,,,,,
1894,,,,,|1893_1894_4_804_,
1895,,,|1895_1895_2_805_,,|1875_1895_4_798_,
1896,,,|1892_1896_2_803_,,,
1897,,|1884_1897_1_800_,,,,
1898,,,,,,
1899,,,,,,
1900,,,,,|1886_1900_4_801_,
1901,,,,,,
1902,,,,,,
1903,,|1890_1903_1_802_,,,,
1904,,,,,,
1905,,,,,|1896_1905_4_806_|1900_1905_4_807_,
1906,,,,,,
1907,,,|1907_1907_2_810_,,,
1908,,,,,,
1909,,,,,,
1910,,,,,,
1911,,,,,,
1912,,,,,,
1913,,,,,,
1914,,,,,,
1915,,,,,,
1916,,,,,,
1917,,,,,,
1918,,,,,|1904_1918_4_808_,
1919,,,,,,
1920,,,,,,
1921,,,,,,
1922,,,,,,
1923,,,,,,
1924,,,,,,
1925,,|1906_1925_1_809_,,,,
1926,,,,,,
1927,,,,,|1927_1927_4_815_,
1928,,,,,,
1929,,,,,|1909_1929_4_811_,
1930,,,,,,
1931,,,,,|1912_1931_4_812_,
1932,,,,,,
1933,,,,,,
1934,,,,,,
1935,,,,,,
1936,,,,,,
1937,,,,,,
1938,,,,,|1919_1938_4_813_,
1939,,,|1939_1939_2_817_,,,
1940,,,,,|1921_1940_4_814_,
1941,,,,,,
1942,,,|1942_1942_2_819_,,,
1943,,,,,,
1944,,,,,,
1945,,,,,,
1946,,,,,,
1947,,,,,,
1948,,,,,,
1949,,,|1949_1949_2_821_,,,
1950,,,,,,
1951,,|1935_1951_1_816_,,,,
1952,,,,,,
1953,,|1943_1953_1_820_,,,,
1954,,,,,,
1955,,|1940_1955_1_818_,,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,,,,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,,,,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,,,,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,|1972_1974_4_824_,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,|1962_1982_4_822_,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,|1971_1990_4_823_,
1991,,,,,,
1992,,,,,,
1993,,,|1993_1993_2_828_,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,|1977_1997_4_825_,
1998,,,,,|1979_1998_4_826_,
1999,,,,,,
2000,,,,,|1980_2000_4_827_,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,|2004_2004_2_830_,,,
2005,,,,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,|1997_2017_4_829_,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,,|2015_2025_1_834_,,,|2005_2025_4_831_,
2026,,,,,,
2027,,,,,,
2028,,,,,|2008_2028_4_832_,
2029,,|2022_2029_1_836_,,,,
2030,,,,,,
2031,,|2017_2031_1_835_,,,,
2032,,,,,|2012_2032_4_833_,
2033,,,,,,
2034,,,|2024_2034_2_837_,,,
2035,,,,,,
2036,,,,,,
2037,,,,,,
2038,,,,,,
2039,,,,,,
2040,,,,,,
2041,,,,,,
2042,,,,,,
2043,,,,,,
2044,,,,,,
2045,,,,,,
2046,,,,,,
2047,,,,,|2027_2047_4_838_,
2048,,,,,,
2049,,,,,,
2050,,|2036_2050_1_841_,|2048_2050_2_843_|2049_2050_2_844_,,|2030_2050_4_839_,
2051,,,,,,
2052,,,,,,
2053,,,,,|2033_2053_4_840_,
2054,,,,,,
2055,,,,,,
2056,,,,,,
2057,,,,,,
2058,,,,,,
2059,,,,,,
2060,,,,,,
2061,,,,,,
2062,,,,,,
2063,,,,,|2053_2063_4_845_,
2064,,,,,,
2065,,,,,,
2066,,|2057_2066_1_846_,,,|2046_2066_4_842_,
2067,,,,,,
2068,,,,,,
2069,,,,,,
2070,,,,,,
2071,,,,,,
2072,,,,,,
2073,,,,,,
2074,,,,,,
2075,,,,,,
2076,,,,,,
2077,,,,,,
2078,,|2058_2078_1_847_,,,,
2079,,,,,,
2080,,,,,|2060_2080_4_848_,
2081,,,,,,
2082,,|2081_2082_1_854_,,,,
2083,,,,,,
2084,,,,,,
2085,,|2078_2085_1_853_,,,,
2086,,,,,,
2087,,|2072_2087_1_850_,,,|2067_2087_4_849_,
2088,,,,,,
2089,,,,,,
2090,,,,,,
2091,,,,,,
2092,,,,,,
2093,,,|2093_2093_2_857_,,|2073_2093_4_851_,
2094,,,,,,
2095,,,,,,
2096,,,,,,
2097,,,,,|2077_2097_4_852_,
2098,,,,,,
2099,,,,,,
2100,,,,,,
2101,,,,,,
2102,,,,,|2082_2102_4_855_,
2103,,,,,,
2104,,,,,|2084_2104_4_856_,
2105,,|2094_2105_1_858_,,,,
2106,,,,,,
2107,,,|2105_2107_2_860_,,,
2108,,,,,,
2109,,,|2109_2109_2_861_,,,
2110,,,,,,
2111,,,,,,
2112,,,,,,
2113,,,,,,
2114,,,,,,
2115,,,,,|2095_2115_4_859_,
2116,,,,,,
2117,,,,,,
2118,,,,,,
2119,,,,,,
2120,,,,,,
2121,,,,,,
2122,,,,,,
2123,,,,,,
2124,,,,,,
2125,,,,,,
2126,,,,,,
2127,,,,,,
2128,,,,,,
2129,,,,,,
2130,,,|2130_2130_2_865_,,,
2131,,,,,,
2132,,,,,,
2133,,,,,,
2134,,,,,,
2135,,,,,,
2136,,,,,,
2137,,,,,|2117_2137_4_862_,
2138,,,,,,
2139,,,,,,
2140,,,,,|2120_2140_4_863_,
2141,,,|2141_2141_2_869_,,,
2142,,|2126_2142_1_864_,,,,
2143,,,,,,
2144,,,,,,
2145,,,,,,
2146,,,,,,
2147,,,,,,
2148,,,,,,
2149,,,,,,
2150,,,,,,
2151,,,,,,
2152,,,,,,
2153,,|2136_2153_1_867_,,,|2133_2153_4_866_,
2154,,,,,,
2155,,,,,,
2156,,,,,,
2157,,,,,,
2158,,|2140_2158_1_868_,,,,
2159,,,,,,
2160,,,,,,
2161,,,,,,
2162,,,,,,
2163,,,,,,
2164,,,,,,
2165,,,,,|2145_2165_4_870_,
2166,,,|2166_2166_2_875_,,,
2167,,,,,,
2168,,,,,|2149_2168_4_871_,
2169,,,,,,
2170,,,,,|2151_2170_4_872_,
2171,,,,,,
2172,,,,,|2154_2172_4_873_,
2173,,,,,,
2174,,,,,,
2175,,,,,,
2176,,,,,,
2177,,,,,|2157_2177_4_874_,
2178,,,,,,
2179,,,,,,
2180,,,|2180_2180_2_879_,,,
2181,,,|2181_2181_2_880_,,,
2182,,,,,,
2183,,,,,,
2184,,,,,,
2185,,,,,,
2186,,,,,,
2187,,,,,,
2188,,,,,,
2189,,,,,,
2190,,,,,,
2191,,|2171_2191_1_876_,,,,
2192,,,,,,
2193,,,,,,
2194,,,,,|2175_2194_4_877_,
2195,,,,,,
2196,,,,,|2176_2196_4_878_,
2197,,,,,,
2198,,,,,,
2199,,,,,,
2200,,,,,,
2201,,,,,,
2202,,,,,,
2203,,,,,,
2204,,,,,,
2205,,,,,,
2206,,,,,,
2207,,,,,,
2208,,,,,,
2209,,,,,|2193_2209_4_881_,
2210,,|2194_2210_1_882_,,,,
2211,,,,,,
2212,,,,,,
2213,,,,,,
2214,,,,,,
2215,,,,,|2195_2215_4_883_,
2216,,,,,|2206_2216_4_885_,
2217,,,,,|2198_2217_4_884_,
2218,,,,,,
2219,,,,,,
2220,,,,,,
2221,,,,,,
2222,,,,,,
2223,,,,,,
2224,,,,,,
2225,,,,,,
2226,,,,,,
2227,,,,,,
2228,,,,,|2208_2228_4_886_,
2229,,,,,,
2230,,,,,|2212_2230_4_887_,
2231,,,,,,
2232,,,,,,
2233,,,,,,
2234,,,,,,
2235,,,,,,
2236,,,,,,
2237,,,,,,
2238,,,,,,
